starttime	seconds	ctime	dtime	ttime	wait
Wed Mar 14 15:08:33 2012	1331734113	0	1	1	1
Wed Mar 14 15:08:33 2012	1331734113	1	1	1	0
Wed Mar 14 15:08:33 2012	1331734113	1	1	2	0
Wed Mar 14 15:08:32 2012	1331734112	0	1	2	1
Wed Mar 14 15:08:32 2012	1331734112	0	1	2	1
Wed Mar 14 15:08:32 2012	1331734112	0	2	2	2
Wed Mar 14 15:08:32 2012	1331734112	0	1	2	1
Wed Mar 14 15:08:32 2012	1331734112	0	2	2	2
Wed Mar 14 15:08:32 2012	1331734112	0	2	2	2
Wed Mar 14 15:08:32 2012	1331734112	0	2	2	2
Wed Mar 14 15:08:31 2012	1331734111	0	2	2	2
Wed Mar 14 15:08:32 2012	1331734112	0	2	2	2
Wed Mar 14 15:08:33 2012	1331734113	0	2	2	2
Wed Mar 14 15:08:33 2012	1331734113	0	2	2	2
Wed Mar 14 15:08:32 2012	1331734112	0	2	2	2
Wed Mar 14 15:08:32 2012	1331734112	0	2	2	2
Wed Mar 14 15:08:33 2012	1331734113	0	2	2	2
Wed Mar 14 15:08:32 2012	1331734112	0	2	2	2
Wed Mar 14 15:08:33 2012	1331734113	0	2	2	2
Wed Mar 14 15:08:32 2012	1331734112	0	2	2	2
Wed Mar 14 15:08:33 2012	1331734113	0	2	2	2
Wed Mar 14 15:08:32 2012	1331734112	0	2	2	2
Wed Mar 14 15:08:32 2012	1331734112	0	2	2	2
Wed Mar 14 15:08:33 2012	1331734113	0	2	2	2
Wed Mar 14 15:08:33 2012	1331734113	0	2	2	2
Wed Mar 14 15:08:33 2012	1331734113	0	2	2	2
Wed Mar 14 15:08:32 2012	1331734112	0	2	2	2
Wed Mar 14 15:08:31 2012	1331734111	0	3	3	3
Wed Mar 14 15:08:33 2012	1331734113	0	3	3	3
Wed Mar 14 15:08:33 2012	1331734113	0	3	3	2
Wed Mar 14 15:08:31 2012	1331734111	0	3	3	2
Wed Mar 14 15:08:32 2012	1331734112	0	3	3	3
Wed Mar 14 15:08:33 2012	1331734113	0	3	3	3
Wed Mar 14 15:08:33 2012	1331734113	0	3	3	3
Wed Mar 14 15:08:32 2012	1331734112	1	1	3	1
Wed Mar 14 15:08:33 2012	1331734113	0	3	3	3
Wed Mar 14 15:08:31 2012	1331734111	0	3	3	3
Wed Mar 14 15:08:33 2012	1331734113	0	3	3	3
Wed Mar 14 15:08:32 2012	1331734112	0	3	3	3
Wed Mar 14 15:08:31 2012	1331734111	0	3	3	3
Wed Mar 14 15:08:32 2012	1331734112	0	3	3	3
Wed Mar 14 15:08:33 2012	1331734113	0	3	3	3
Wed Mar 14 15:08:33 2012	1331734113	0	3	3	3
Wed Mar 14 15:08:33 2012	1331734113	0	3	3	3
Wed Mar 14 15:08:33 2012	1331734113	0	2	3	2
