starttime	seconds	ctime	dtime	ttime	wait
Wed Mar 14 15:08:37 2012	1331734117	0	38	38	38
Wed Mar 14 15:08:37 2012	1331734117	0	39	39	39
Wed Mar 14 15:08:38 2012	1331734118	0	44	44	44
Wed Mar 14 15:08:38 2012	1331734118	0	45	45	45
Wed Mar 14 15:08:38 2012	1331734118	0	45	45	45
Wed Mar 14 15:08:38 2012	1331734118	0	45	45	45
Wed Mar 14 15:08:38 2012	1331734118	0	45	45	45
Wed Mar 14 15:08:38 2012	1331734118	0	45	45	45
Wed Mar 14 15:08:38 2012	1331734118	0	45	45	45
Wed Mar 14 15:08:38 2012	1331734118	0	45	45	45
Wed Mar 14 15:08:38 2012	1331734118	0	46	46	45
Wed Mar 14 15:08:38 2012	1331734118	0	46	46	46
Wed Mar 14 15:08:38 2012	1331734118	0	46	46	46
Wed Mar 14 15:08:38 2012	1331734118	0	46	46	46
Wed Mar 14 15:08:38 2012	1331734118	0	46	46	46
Wed Mar 14 15:08:37 2012	1331734117	0	46	46	46
Wed Mar 14 15:08:37 2012	1331734117	0	47	47	47
Wed Mar 14 15:08:38 2012	1331734118	0	47	47	47
Wed Mar 14 15:08:38 2012	1331734118	0	47	47	46
Wed Mar 14 15:08:38 2012	1331734118	0	47	47	47
Wed Mar 14 15:08:38 2012	1331734118	0	47	47	46
Wed Mar 14 15:08:38 2012	1331734118	0	47	47	47
Wed Mar 14 15:08:37 2012	1331734117	0	47	47	47
Wed Mar 14 15:08:37 2012	1331734117	0	47	47	47
Wed Mar 14 15:08:37 2012	1331734117	0	47	47	47
Wed Mar 14 15:08:37 2012	1331734117	0	47	47	47
Wed Mar 14 15:08:37 2012	1331734117	0	47	47	47
Wed Mar 14 15:08:37 2012	1331734117	0	47	47	47
Wed Mar 14 15:08:37 2012	1331734117	0	47	47	47
Wed Mar 14 15:08:37 2012	1331734117	0	47	47	47
Wed Mar 14 15:08:37 2012	1331734117	0	47	47	47
Wed Mar 14 15:08:37 2012	1331734117	0	47	47	47
Wed Mar 14 15:08:38 2012	1331734118	0	47	47	46
Wed Mar 14 15:08:37 2012	1331734117	0	47	47	47
Wed Mar 14 15:08:37 2012	1331734117	0	47	47	47
Wed Mar 14 15:08:37 2012	1331734117	0	47	47	47
Wed Mar 14 15:08:37 2012	1331734117	0	47	47	47
Wed Mar 14 15:08:38 2012	1331734118	0	47	47	47
Wed Mar 14 15:08:38 2012	1331734118	0	47	47	47
Wed Mar 14 15:08:38 2012	1331734118	0	47	47	47
Wed Mar 14 15:08:37 2012	1331734117	0	47	47	47
Wed Mar 14 15:08:38 2012	1331734118	0	47	47	47
Wed Mar 14 15:08:38 2012	1331734118	0	47	47	47
Wed Mar 14 15:08:38 2012	1331734118	0	47	47	47
Wed Mar 14 15:08:38 2012	1331734118	0	47	47	47
Wed Mar 14 15:08:37 2012	1331734117	0	47	47	47
Wed Mar 14 15:08:37 2012	1331734117	0	47	47	47
Wed Mar 14 15:08:37 2012	1331734117	0	47	47	47
Wed Mar 14 15:08:38 2012	1331734118	0	47	47	47
Wed Mar 14 15:08:38 2012	1331734118	0	47	47	47
Wed Mar 14 15:08:38 2012	1331734118	0	47	47	47
Wed Mar 14 15:08:38 2012	1331734118	0	47	47	47
Wed Mar 14 15:08:38 2012	1331734118	0	47	47	47
Wed Mar 14 15:08:37 2012	1331734117	0	47	47	47
Wed Mar 14 15:08:38 2012	1331734118	0	47	47	47
